conversationWordList_Food,neutralWords_Food,falseStimuli_Food,recognitionList_food,conversationWordList_School,neutralWords_school,falseStimuli_school,recognitionList_school
Sushi,France,Food,Sushi,Education,Tablet,School,Education
Bubble Tea,Political,,Bubble Tea,Classroom,Internet,,Grades
Desert,Friend,,Pizza,Online Courses,Picture,,GPA
Samosa,Idea,,Apple,Reading,Time,,Semesters
Pizza,Art,,Steak,Instructor,Floor,,Textbook
Yogurt,Machine,,Pretzel,Grades,Craft,,Tuition
Apple,Map,,Popcorn,GPA,Power,,Studying
Hotdog,,,lunch,Graduation,,,Classes
Steak,,,,Semesters,,,
Salad,,,,Textbook,,,
Porridge,,,,Tuition,,,
Pretzel,,,,Studying,,,
Soda,,,,Notes,,,
Poutine,,,,Projects,,,
Popcorn,,,,Deadline,,,
dinner,,,,Classes,,,
lunch,,,,,,,
breakfast,,,,,,,
